단원,대주제,프로젝트명,프로젝트ID,URL,썸네일URL,주석
STEP 1,"코딩 개념 이해하고 순차, 반복, 기본 조건문을 활용한 게임 만들기",초원 달리기,1163587263,https://scratch.mit.edu/projects/1163587263/,https://uploads.scratch.mit.edu/get_image/project/1163587263_480x360.png,"[Panther]
- [프로젝트 개요]
이 프로젝트는 두 마리의 표범 스프라이트가 달리기 시합을 하는 프로그램입니다. Panther와 Panther2가 🚩 초록색 깃발을 누르면 각각 다른 방법으로 앞으로 달려갑니다. 깃발을 클릭해서 두 표범의 움직임이 어떻게 다른지 비교해 보세요!

[1단계: 표범들의 달리기 시합]
목표: 🚩 깃발을 누르면 두 마리의 표범이 앞으로 움직입니다.

■ Panther

1.🚩 [클릭했을 때] 가져오기

2. [100 만큼 움직이기] 아래에 붙이기
[Panther2]
- [1단계: 표범들의 달리기 시합]
목표: 🚩 깃발을 누르면 두 마리의 표범이 앞으로 움직입니다.

■ Panther2

1. 🚩 [클릭했을 때] 가져오기
2. 🔁 [10 번 반복하기] 아래에 붙이기

* ➡ [10 만큼 움직이기] 안쪽에 넣기

---

[🏆 응용 미션 / 도전 과제]

1. 표범들이 신나게 달리다가 화면 구석의 벽에 닿았을 때, 튕겨서 반대로 돌아오게 만들 수 있을까요?
2. 🚩 깃발을 새로 누를 때마다 두 표범이 항상 똑같은 시작 위치에서 출발하게 하려면 어떤 블록을 연결해야 할까요?
3. 두 표범이 서로 다른 속도로 달리게 만드려면 어떻게 해야할까요?"
STEP 1,"코딩 개념 이해하고 순차, 반복, 기본 조건문을 활용한 게임 만들기",로봇 조종하기,1163593312,https://scratch.mit.edu/projects/1163593312/,https://uploads.scratch.mit.edu/get_image/project/1163593312_480x360.png,"[Robot]
- [개요]
화살표 키와 숫자 키를 누를 때마다 좌표를 바꾸고 이동하는 로봇을 만들어 봅시다.
화면에 있는 선과 숫자들이 보이나요?
화면 가운데를 지나가는 가로선을 x좌표, 세로선을 y좌표라고 생각하면 된답니다.

x좌표는 가운데가 0, 오른쪽으로 갈수록 숫자가 커지고, 왼쪽으로 갈수록 숫자가 마이너스가 됩니다.
y좌표는 가운데가 0, 위쪽으로 갈수록 숫자가 커지고, 아래쪽으로 갈수록 숫자가 마이너스가 됩니다.
블록을 완성하고, 숫자를 바꿔보며 좌표를 이해해 봅시다.


[과정]
◎ 위쪽 화살표 키를 눌렀을 때
1. y좌표를 10만큼 바꾸기


◎ 아래쪽 화살표 키를 눌렀을 때
1. y좌표를 -10만큼 바꾸기


◎ 오른쪽 화살표 키를 눌렀을 때
1. x좌표를 10만큼 바꾸기


◎ 왼쪽 화살표 키를 눌렀을 때
1. x좌표를 -10만큼 바꾸기



Q1. 화살표 키들을 한 번씩 눌러보며 로봇이 어떻게 움직이는지 확인해 봅시다. 
Q2. 각 블록의 숫자를 바꾼 후 화살표 키를 눌러봅시다. 어떤 변화가 생기나요?
- [프로젝트 개요]
이 프로젝트는 화살표 키와 숫자 키를 이용하여 로봇 스프라이트를 자유롭게 움직이는 프로그램입니다. 초록색 깃발을 누르면 로봇이 화면 한가운데에서 출발할 준비를 하고, 키보드를 누르는 대로 상하좌우나 정해진 위치로 순간이동하며 움직입니다.

---

[1단계: 로봇의 시작 위치 정하기]
목표: 🚩 깃발을 누르면 로봇이 화면 정중앙에 위치하도록 만듭니다.

■ Robot

1. 🚩 [클릭했을 때] 가져오기
2. 📍 [x: 0 y: 0 (으)로 이동하기] 연결하기

---

[2단계: 화살표 키로 움직이기]
목표: ⌨ 키보드의 상하좌우 화살표 키를 누르면 로봇이 10만큼씩 걸어갑니다.

■ Robot

1. 🚩 [위쪽 화살표 키를 눌렀을 때] 가져오기
2. ⬆ [y좌표를 10 만큼 바꾸기] 연결하기
3. 🚩 [아래쪽 화살표 키를 눌렀을 때] 가져오기
4. ⬇ [y좌표를 -10 만큼 바꾸기] 연결하기
5. 🚩 [왼쪽 화살표 키를 눌렀을 때] 가져오기
6. ⬅ [x좌표를 -10 만큼 바꾸기] 연결하기
7. 🚩 [오른쪽 화살표 키를 눌렀을 때] 가져오기
8. ➡ [x좌표를 10 만큼 바꾸기] 연결하기

---

[3단계: 숫자 키로 순간이동하기]
목표: ⌨ 숫자 키를 누르면 로봇이 정해진 위치로 한 번에 순간이동합니다.

■ Robot

1. 🚩 [5 키를 눌렀을 때] 가져오기
2. 📍 [x좌표를 0 (으)로 정하기] 연결하기
3. 📍 [y좌표를 0 (으)로 정하기] 아래에 붙이기
4. 🚩 [2 키를 눌렀을 때] 가져오기
5. 📍 [x좌표를 0 (으)로 정하기] 연결하기
6. 📍 [y좌표를 -100 (으)로 정하기] 아래에 붙이기
7. 🚩 [4 키를 눌렀을 때] 가져오기
8. 📍 [x좌표를 -100 (으)로 정하기] 연결하기
9. 📍 [y좌표를 0 (으)로 정하기] 아래에 붙이기
10. 🚩 [6 키를 눌렀을 때] 가져오기
11. 📍 [x좌표를 100 (으)로 정하기] 연결하기
12. 📍 [y좌표를 0 (으)로 정하기] 아래에 붙이기
13. 🚩 [8 키를 눌렀을 때] 가져오기
14. 📍 [x좌표를 0 (으)로 정하기] 연결하기
15. 📍 [y좌표를 100 (으)로 정하기] 아래에 붙이기

---

[🏆 응용 미션 / 도전 과제]

1. 로봇이 움직일 때마다 부드럽게 걸어가는 것처럼 보이도록 모양을 바꾸게 할 수 있을까요?
2. 숫자 키를 눌러서 순간이동할 때 ""뿅!"" 하는 재미있는 소리가 나게 하려면 어떤 블록을 연결해야 할까요?
3. 로봇이 화면 밖으로 벽을 뚫고 나가지 못하게 막으려면 어떻게 코드를 추가해야 할까요?"
STEP 1,"코딩 개념 이해하고 순차, 반복, 기본 조건문을 활용한 게임 만들기",자기소개하기,1164958899,https://scratch.mit.edu/projects/1164958899/,https://uploads.scratch.mit.edu/get_image/project/1164958899_480x360.png,"[Avery]
- [프로젝트 개요]
이 프로젝트는 초록색 깃발을 누르면 Avery, Dee, Devin 세 친구가 등장하여 서로 대화를 나누는 프로그램입니다. 친구들이 동시에 첫인사를 건넨 뒤, 각자 좋아하는 것에 대해 이야기하거나 생각을 주고받습니다.

[1단계: 다 함께 첫인사 나누기]
목표: 🚩 깃발을 누르면 세 친구가 동시에 첫인사를 합니다.

1.🚩 [클릭했을 때] 가져오기

2. [안녕! 을(를) 2 초 동안 말하기] 연결하기

[2단계: 대화 이어가기]
목표: 첫인사가 끝난 뒤 친구들이 생각을 말하거나 대화를 이어 나갑니다.

1. [좋아하는 걸 말해보자. 말하기] 아래에 붙이기
[Dee]
- [1단계: 다 함께 첫인사 나누기]
목표: 🚩 깃발을 누르면 세 친구가 동시에 첫인사를 합니다.

■ Dee

1.🚩 [클릭했을 때] 가져오기

2. [안녕! 을(를) 2 초 동안 말하기] 연결하기

[2단계: 대화 이어가기]
목표: 첫인사가 끝난 뒤 친구들이 생각을 말하거나 대화를 이어 나갑니다.

1. [2 초 기다리기] 아래에 붙이기

2. 나는 축구하는 걸 좋아해. 을(를) 2 초 동안 말하기] 아래에 붙이기
[Devin]
- [1단계: 다 함께 첫인사 나누기]
목표: 🚩 깃발을 누르면 세 친구가 동시에 첫인사를 합니다.

■ Devin

1.🚩 [클릭했을 때] 가져오기

2.💬 [안녕! 을(를) 2 초 동안 말하기] 연결하기

[2단계: 대화 이어가기]
목표: 첫인사가 끝난 뒤 친구들이 생각을 말하거나 대화를 이어 나갑니다.

■ Devin

⏱ [2 초 기다리기] 아래에 붙이기

1. [음... 을(를) 2 초 동안 생각하기] 아래에 붙이기

2. [나는 말하기 싫은데... 생각하기] 아래에 붙이기

[🏆 응용 미션 / 도전 과제]

1.Avery가 이야기를 마친 후 부끄러워하는 표정이나 다른 모양으로 바뀌게 할 수 있을까요?

20Dee가 축구를 좋아한다고 말할 때, 몸집이 커지거나 색깔 효과가 바뀌도록 하려면 어떻게 해야 할까요?

3.Devin이 마지막에 속마음을 생각한 뒤, 아예 보이지 않게 숨기려면 어떤 블록을 써야 할까요?"
STEP 1,"코딩 개념 이해하고 순차, 반복, 기본 조건문을 활용한 게임 만들기",사과 따기,1164931192,https://scratch.mit.edu/projects/1164931192/,https://uploads.scratch.mit.edu/get_image/project/1164931192_480x360.png,"[Tree1]
- [프로젝트 개요]
이 프로젝트는 초록색 깃발을 누르면 고양이가 사과나무에 달린 사과를 발견하고 그곳으로 다가가는 프로그램입니다. 나무와 사과, 고양이 스프라이트가 제자리를 찾아가고, 고양이는 ""사과다!""라고 외치며 사과가 있는 곳으로 부드럽게 미끄러지듯 이동합니다.

---

[1단계: 시작 위치 정하기]
목표: 🚩 깃발을 누르면 나무와 사과, 고양이가 각자 정해진 자리에 나타납니다.

■ Tree1

1. 🚩 [클릭했을 때] 가져오기
2. 📍 [x: -119 y: -29 (으)로 이동하기] 연결하기
[Apple]
- [1단계: 시작 위치 정하기]
목표: 🚩 깃발을 누르면 나무와 사과, 고양이가 각자 정해진 자리에 나타납니다.

■ Apple

1. 🚩 [클릭했을 때] 가져오기
2. 📍 [Tree1 (으)로 이동하기] 연결하기

---
- Q2
[Cat]
- [1단계: 시작 위치 정하기]
목표: 🚩 깃발을 누르면 나무와 사과, 고양이가 각자 정해진 자리에 나타납니다.

■ Cat

1. 🚩 [클릭했을 때] 가져오기
2. 📍 [x: 127 y: -77 (으)로 이동하기] 연결하기


[2단계: 사과 발견하고 이동하기]
목표: 고양이가 사과를 보고 기뻐하며 사과가 있는 곳으로 걸어갑니다.

■ Cat

1. 💬 [사과다! 을(를) 2 초 동안 말하기] 아래에 붙이기
2. ➡ [2 초 동안 Apple (으)로 이동하기] 아래에 붙이기

---

[🏆 응용 미션 / 도전 과제]

1. 고양이가 ""사과다!""라고 말할 때, 나무에 매달려 있던 사과가 툭 떨어지는 모양으로 바뀌게 만들 수 있을까요?
2. 고양이가 사과에 도착한 뒤에 만족스러워하는 다른 모습으로 모양을 바꾸게 하려면 어떻게 해야 할까요?
3. 사과가 고양이에게 들키지 않으려고 고양이가 다가올 때 몸집이 작아지거나 숨겨지게 할 수 있을까요?"
STEP 1,"코딩 개념 이해하고 순차, 반복, 기본 조건문을 활용한 게임 만들기",쥐를 잡자,1164942828,https://scratch.mit.edu/projects/1164942828/,https://uploads.scratch.mit.edu/get_image/project/1164942828_480x360.png,"[Cat 2]
- [프로젝트 개요]
이 프로젝트는 키보드를 조작하여 고양이(Cat 2)가 숨어 있는 쥐(Mouse1)를 찾아가도록 만드는 프로그램입니다. 초록색 깃발을 누르면 고양이는 화면 한가운데에 서고, 쥐는 무작위로 다른 장소에 숨어버립니다. 화살표 키로 고양이의 방향을 바꾸고 스페이스 키를 누르면 고양이가 쥐를 향해 미끄러지듯 이동합니다.

---

[1단계: 시작 위치 정하기]
목표: 🚩 깃발을 누르면 고양이와 쥐가 각자 정해진 자리에서 나타납니다.

■ Cat 2

1. 🚩 [클릭했을 때] 가져오기
2. 📍 [x: 0 y: 0 (으)로 이동하기] 연결하기
[Mouse1]
- [1단계: 시작 위치 정하기]
목표: 🚩 깃발을 누르면 고양이와 쥐가 각자 정해진 자리에서 나타납니다.

■ Mouse1

1. 🚩 [클릭했을 때] 가져오기
2. 📍 [무작위 위치 (으)로 이동하기] 연결하기


[2단계: 고양이 방향 바꾸기]
목표: 왼쪽과 오른쪽 화살표 키를 누르면 고양이가 제자리에서 회전합니다.

■ Cat 2

1. 🚩 [왼쪽 화살표 키를 눌렀을 때] 가져오기
2. 🔄 [왼쪽으로 10 도 돌기] 연결하기
3. 🚩 [오른쪽 화살표 키를 눌렀을 때] 가져오기
4. 🔄 [오른쪽으로 10 도 돌기] 연결하기

[3단계: 쥐 추적하기]
목표: 스페이스 키를 누르면 고양이가 쥐가 있는 곳을 향해 이동합니다.

■ Cat 2

1. 🚩 [스페이스 키를 눌렀을 때] 가져오기
2. ➡ [3 초 동안 Mouse1 (으)로 이동하기] 연결하기

[🏆 응용 미션 / 도전 과제]

1. 고양이가 3초 동안 쥐를 향해 이동하기 전에, 먼저 ""잡으러 간다!""라고 2초 동안 말하는 블록을 사이에 끼워 넣을 수 있을까요?
2. 쥐가 처음 숨을 때 그냥 바로 이동하지 않고, 처음에는 보이지 않게 숨겼다가 무작위 위치로 이동한 뒤 짜잔 하고 나타나게 하려면 어떤 블록들이 필요할까요?
3. 고양이가 쥐에게 도착한 순간, 고양이의 원래 모양을 지우고 투명인간처럼 아예 안 보이게 감추려면 어떤 블록을 아래에 붙여야 할까요?"
STEP 1,"코딩 개념 이해하고 순차, 반복, 기본 조건문을 활용한 게임 만들기",스스로 연주하는 악기,1164950048,https://scratch.mit.edu/projects/1164950048/,https://uploads.scratch.mit.edu/get_image/project/1164950048_480x360.png,"[Drum Kit]
- [프로젝트 개요]
이 프로젝트는 초록색 깃발을 누르면 다양한 종류의 드럼들이 스스로 연주하듯 모양을 바꾸는 신나는 악기 연주 프로그램입니다. Drum Kit, Drum-cymbal, Drum-snare 세 가지 드럼 스프라이트가 등장하며, 각자 정해진 시간 간격에 맞춰 10번씩 모양을 바꿉니다.

---

[1단계: 드럼 연주 시작하기]
목표: 🚩 깃발을 누르면 큰북 드럼이 1초 간격으로 10번 모양을 바꿉니다.

■ Drum Kit

1. 🚩 [클릭했을 때] 가져오기
2. 🔁 [10 번 반복하기] 연결하기

* 👕 [다음 모양으로 바꾸기] 안쪽에 넣기
* ⏱ [1 초 기다리기] 아래에 붙이기
[Drum-cymbal]
- [1단계: 드럼 연주 시작하기]
목표: 🚩 깃발을 누르면 심벌즈 드럼이 2초 간격으로 10번 모양을 바꿉니다.

■ Drum-cymbal

1. 🚩 [클릭했을 때] 가져오기
2. 🔁 [10 번 반복하기] 연결하기

* 👕 [다음 모양으로 바꾸기] 안쪽에 넣기
* ⏱ [2 초 기다리기] 아래에 붙이기
[Drum-snare]
- [1단계: 드럼 연주 시작하기]
목표: 🚩 깃발을 누르면 작은북 드럼이 0.5초 간격으로 10번 모양을 바꿉니다.

■ Drum-snare

1. 🚩 [클릭했을 때] 가져오기
2. 🔁 [10 번 반복하기] 연결하기

* 👕 [다음 모양으로 바꾸기] 안쪽에 넣기
* ⏱ [0.5 초 기다리기] 아래에 붙이기

[🏆 응용 미션 / 도전 과제]

1. 드럼이 모양을 바꿀 때 소용돌이치는 것처럼 모양이 구겨지도록 [소용돌이 효과를 25만큼 바꾸기] 블록을 반복문 안쪽에 넣어볼 수 있을까요?
2. 드럼 연주가 시작될 때 맨 처음에 [그래픽 효과 지우기] 블록을 사용해서 이전 판에 변했던 색깔을 원래대로 되돌린 뒤 연주를 시작하게 하려면 어떻게 해야 할까요?
3. 드럼들이 제자리에서 모양만 바꾸는 대신 신나게 춤을 추듯 뱅글뱅글 회전하면서 연주하도록 동작 카테고리의 돌기 블록을 반복문 안에 함께 넣을 수 있을까요?"
STEP 1,"코딩 개념 이해하고 순차, 반복, 기본 조건문을 활용한 게임 만들기",배경 설명하기,1165047808,https://scratch.mit.edu/projects/1165047808/,https://uploads.scratch.mit.edu/get_image/project/1165047808_480x360.png,"[스프라이트 1]
- [프로젝트 개요]
이 프로젝트는 초록색 깃발을 누르면 배경이 자동으로 바뀌면서 주인공 캐릭터가 새로운 장소를 소개해주는 가이드 프로그램입니다. 스프라이트 1이 3초마다 바뀌는 풍경에 맞춰 해변, 호수, 건초밭, 산, 계곡의 이름을 큰소리로 이야기합니다.

---

[1단계: 배경 바꾸기 시작]
목표: 🚩 깃발을 누르면 무대 배경이 3초 간격으로 5번 연속해서 바뀝니다.

■ 스프라이트 1

1. 🚩 [클릭했을 때] 가져오기
2. 🔁 [5 번 반복하기] 연결하기

* 🌄 [다음 배경으로 바꾸기] 안쪽에 넣기
* ⏱ [3 초 기다리기] 아래에 붙이기

---

[2단계: 장소 소개하기]
목표: 무대 배경이 바뀔 때마다 주인공이 장소에 맞는 대사를 말합니다.

■ 스프라이트 1

1. 🌄 [배경이 해변(으)로 바뀌었을 때] 가져오기
2. 💬 [여긴 해변이야. 을(를) 2 초 동안 말하기] 연결하기
3. 🌄 [배경이 호수(으)로 바뀌었을 때] 가져오기
4. 💬 [여긴 호수이야. 을(를) 2 초 동안 말하기] 연결하기
5. 🌄 [배경이 건초밭(으)로 바뀌었을 때] 가져오기
6. 💬 [여긴 건초밭이야. 을(를) 2 초 동안 말하기] 연결하기
7. 🌄 [배경이 산(으)로 바뀌었을 때] 가져오기
8. 💬 [여긴 산이야. 을(를) 2 초 동안 말하기] 연결하기
9. 🌄 [배경이 계곡(으)로 바뀌었을 때] 가져오기
10. 💬 [여긴 계곡이야. 을(를) 2 초 동안 말하기] 연결하기

---

[🏆 응용 미션 / 도전 과제]

캐릭터가 해변 배경을 소개할 때 온몸이 유령처럼 투명해졌다가 나타나도록 형태 카테고리의 [픽셀화 효과를 25만큼 바꾸기]나 [반투명 효과를 25만큼 바꾸기] 블록을 활용할 수 있을까요?

호수나 계곡으로 배경이 바뀌었을 때 캐릭터가 앞으로 가지 않고 뒤걸음질 치듯이 반대 방향을 보게 만들고 싶다면 동작 카테고리의 [회전방향을 왼쪽-오른쪽으로 정하기] 블록과 [90 도 방향 보기] 블록을 어떻게 조합해야 할까요?

무대에 커다란 건초더미 스프라이트를 새로 꺼내서 고양이를 가려버린 뒤, 고양이가 건초밭을 소개할 때 형태 카테고리의 [맨 앞쪽으로 순서 바꾸기] 블록을 써서 건초더미를 뚫고 앞으로 쏙 튀어나오게 만들 수 있을까요?"
STEP 1,"코딩 개념 이해하고 순차, 반복, 기본 조건문을 활용한 게임 만들기",숫자 모양 바꾸기,1164951612,https://scratch.mit.edu/projects/1164951612/,https://uploads.scratch.mit.edu/get_image/project/1164951612_480x360.png,"[스프라이트 1]
- [프로젝트 개요]
이 프로젝트는 키보드의 숫자 키를 누르면 화면에 그 숫자가 그대로 마법처럼 나타나는 숫자 변신 프로그램입니다. 스프라이트 1이 숫자 버튼을 눌러보라고 안내를 하면, 사용자가 1부터 9까지의 키를 누르는 대로 Glow-0 스프라이트가 알맞은 숫자 모양으로 변신합니다.

---

[1단계: 숫자 게임 안내하기]
목표: 🚩 깃발을 누르면 주인공이 게임 방법을 알려줍니다.

■ 스프라이트 1

1. 🚩 [클릭했을 때] 가져오기
2. 💬 [숫자 버튼을 눌러봐 말하기] 연결하기
[Glow-0]
- [2단계: 누른 숫자 보여주기]
목표: ⌨ 키보드로 1부터 9까지의 숫자를 누르면 숫자가 알맞은 모양으로 변신합니다.

■ Glow-0

1. 🚩 [1 키를 눌렀을 때] 가져오기
2. 👕 [모양을 Glow-1 (으)로 바꾸기] 연결하기
3. 🚩 [2 키를 눌렀을 때] 가져오기
4. 👕 [모양을 Glow-2 (으)로 바꾸기] 연결하기
5. 🚩 [3 키를 눌렀을 때] 가져오기
6. 👕 [모양을 Glow-3 (으)로 바꾸기] 연결하기
7. 🚩 [4 키를 눌렀을 때] 가져오기
8. 👕 [모양을 Glow-4 (으)로 바꾸기] 연결하기
9. 🚩 [5 키를 눌렀을 때] 가져오기
10. 👕 [모양을 Glow-5 (으)로 바꾸기] 연결하기
11. 🚩 [6 키를 눌렀을 때] 가져오기
12. 👕 [모양을 Glow-6 (으)로 바꾸기] 연결하기
13. 🚩 [7 키를 눌렀을 때] 가져오기
14. 👕 [모양을 Glow-7 (으)로 바꾸기] 연결하기
15. 🚩 [8 키를 눌렀을 때] 가져오기
16. 👕 [모양을 Glow-8 (으)로 바꾸기] 연결하기
17. 🚩 [9 키를 눌렀을 때] 가져오기
18. 👕 [모양을 Glow-9 (으)로 바꾸기] 연결하기
[Characters 1]
- [2단계: 누른 숫자 보여주기]
목표: ⌨ 키보드로 스페이스 키를 누르면 캐릭터의 모양이 바뀝니다.

■ Characters 1

1. 🚩 [스페이스 키를 눌렀을 때] 가져오기
2. 👕 [모양을 character1-l (으)로 바꾸기] 연결하기

---

[🏆 응용 미션 / 도전 과제]

1. 숫자를 누를 때마다 몸집이 계속해서 누적되어 거대해지는 [크기를 10만큼 바꾸기] 블록과, 아무리 눌러도 딱 정해진 크기로만 고정되는 [크기를 120%로 정하기] 블록의 차이를 직접 코드로 짜서 비교해볼 수 있을까요?
2. 숫자가 키보드를 누를 때마다 위나 아래로 껑충 뛰어오르게 만들고 싶다면 동작 카테고리의 블록을 어떻게 사용해야 할까요?
3. 마우스 포인터가 지나가는 방향을 따라 숫자가 스르륵 쳐다보게 만들고 싶다면 동작 카테고리의 블록을 어디에 추가해야 할까요?"
STEP 1,"코딩 개념 이해하고 순차, 반복, 기본 조건문을 활용한 게임 만들기",벌레 잡아먹는 개구리,1165044489,https://scratch.mit.edu/projects/1165044489/,https://uploads.scratch.mit.edu/get_image/project/1165044489_480x360.png,"[벌레]
- [프로젝트 개요]
이 프로젝트는 마우스 포인터를 쫓아다니는 벌레와 그 벌레를 잡아먹으려고 계속 노려보는 개구리를 만든 프로그램입니다. 초록색 깃발을 누르면 벌레는 마우스를 따라 움직이고 개구리는 고개를 돌려 벌레의 위치를 바라봅니다. 스페이스 키를 누르면 개구리가 입을 벌려 벌레를 사냥하는 것처럼 모양이 바뀝니다.

---

[1단계: 벌레와 개구리의 시선 추적]
목표: 🚩 깃발을 누르면 벌레는 마우스를 따라다니고 개구리는 벌레 쪽을 계속 바라봅니다.

■ 벌레

1. 🚩 [클릭했을 때] 가져오기
2. 🔁 [무한 반복하기] 연결하기

* 🔄 [마우스포인터 쪽 보기] 안쪽에 넣기
* 📍 [마우스포인터 (으)로 이동하기] 아래에 붙이기
[개구리]
- [1단계: 벌레와 개구리의 시선 추적]
목표: 🚩 깃발을 누르면 벌레는 마우스를 따라다니고 개구리는 벌레 쪽을 계속 바라봅니다.

■ 개구리

1. 🚩 [클릭했을 때] 가져오기
2. 🔁 [무한 반복하기] 연결하기

* 🔄 [벌레 쪽 보기] 안쪽에 넣기


[2단계: 개구리의 사냥 동작]
목표: ⌨ 스페이스 키를 누르면 개구리가 입을 벌렸다가 1초 뒤에 다시 다뭅니다.

■ 개구리

1. 🚩 [스페이스 키를 눌렀을 때] 가져오기
2. 👕 [모양을 Frog 2-b (으)로 바꾸기] 연결하기
3. ⏱ [1 초 기다리기] 아래에 붙이기
4. 👕 [모양을 Frog 2-a (으)로 바꾸기] 아래에 붙이기

---
[🏆 응용 미션 / 도전 과제]

1. 스페이스 키를 눌러 개구리가 사냥 자세를 취할 때, 멀리 있는 벌레까지 닿을 수 있도록 개구리의 몸집을 순간적으로 크게 키웠다가 제자리로 돌아오게 만들 수 있을까요?
2. 마우스를 따라 움직이는 벌레가 가만히 서서 이동하지 않고, 하늘을 비행하는 것처럼 몸을 계속 회전하면서 날아다니게 하려면 동작 카테고리의 어떤 블록을 추가해야 할까요?
3. 개구리가 사냥에 성공했을 때 마치 카멜레온처럼 주변 환경에 맞춰 몸 색깔을 화려하게 바꾸어 표현하고 싶다면 형태 카테고리의 어떤 블록을 사용해야 할까요?"
STEP 1,"코딩 개념 이해하고 순차, 반복, 기본 조건문을 활용한 게임 만들기",날아가는 로켓,1164944679,https://scratch.mit.edu/projects/1164944679/,https://uploads.scratch.mit.edu/get_image/project/1164944679_480x360.png,"[rocket]
- [프로젝트 개요]
이 프로젝트는 키보드 화살표 키를 이용해 우주 공간 속 로켓(rocket)을 조종하는 우주 비행 프로그램입니다. 로켓을 마우스로 직접 클릭하면 화면 한가운데로 돌아와 위쪽을 바라보며 출발 준비를 하고, 화살표 키를 누르면 고개를 돌려 엔진을 예열한 뒤 정해진 방향으로 힘차게 날아갑니다.

---

[1단계: 로켓 출발 준비]
목표: 🖱 로켓을 클릭하면 방향과 위치를 초기화하여 처음 자리로 되돌립니다.

■ rocket

1. 🖱 [이 스프라이트를 클릭했을 때] 가져오기
2. 🔄 [0 도 방향 보기] 연결하기
3. 📍 [x: 0 y: 0 (으)로 이동하기] 아래에 붙이기

---

[2단계: 조종 방향 정하고 날아가기]
목표: ⌨ 상하좌우 화살표 키를 누르면 로켓이 고개를 돌려 잠시 대기한 후 앞으로 이동합니다.

■ rocket

1. 🚩 [위쪽 화살표 키를 눌렀을 때] 가져오기
2. 🔄 [0 도 방향 보기] 연결하기
3. ⏱ [0.5 초 기다리기] 아래에 붙이기
4. 🔁 [10 번 반복하기] 아래에 붙이기

* ➡ [10 만큼 움직이기] 안쪽에 넣기

5. 🚩 [아래쪽 화살표 키를 눌렀을 때] 가져오기
6. 🔄 [180 도 방향 보기] 연결하기
7. ⏱ [0.5 초 기다리기] 아래에 붙이기
8. 🔁 [10 번 반복하기] 아래에 붙이기

* ➡ [10 만큼 움직이기] 안쪽에 넣기

9. 🚩 [왼쪽 화살표 키를 눌렀을 때] 가져오기
10. 🔄 [-90 도 방향 보기] 연결하기
11. ⏱ [0.5 초 기다리기] 아래에 붙이기
12. 🔁 [10 번 반복하기] 아래에 붙이기

* ➡ [10 만큼 움직이기] 안쪽에 넣기

13. 🚩 [오른쪽 화살표 키를 눌렀을 때] 가져오기
14. 🔄 [90 도 방향 보기] 연결하기
15. ⏱ [0.5 초 기다리기] 아래에 붙이기
16. 🔁 [10 번 반복하기] 아래에 붙이기

* ➡ [10 만큼 움직이기] 안쪽에 넣기

---

[🏆 응용 미션 / 도전 과제]
1. 화면 아래의 ""방향"" 의 숫자 부분을 눌러보면, 화살표를 돌렸을 때 방향이 몇 도가 되는지 숫자를 알 수 있습니다. 왼쪽, 오른쪽, 아래쪽의 숫자는 몇인지 확인해 보고, 각각의 코드를 완성해 봅시다.
2. 로켓이 더 빠르게 움직이게 하고 싶어요. 어디를 수정하면 좋을까요?
3. 로켓이 벽에 닿을 때까지 움직이려면 어디를 바꿔야 할까요?"
